ID,Idade,Escolaridade,Estado Civil,Filhos,Ocupação,Setor,Experiência (anos),Salário,Propriedade,Tipo de moradia
8804,32,Ensino superior,União-estável,2,Empregado,Outro,12,427500.0,1,Apartamento alugado
5008805,32,Ensino superior,União-estável,2,Empregado,Outro,12,427500.0,1,Apartamento alugado
5008806,58,Ensino médio,Casado,2,Empregado,Segurança,3,112500.0,1,Casa/apartamento próprio
5008808,52,Ensino médio,Solteiro,1,Associado comercial,Vendas,8,270000.0,0,Casa/apartamento próprio
5008809,52,Ensino médio,Solteiro,1,Associado comercial,Vendas,8,270000.0,0,Casa/apartamento próprio
5008810,52,Ensino médio,Solteiro,1,Associado comercial,Vendas,8,270000.0,0,Casa/apartamento próprio
5008811,52,Ensino médio,Solteiro,1,Associado comercial,Vendas,8,270000.0,0,Casa/apartamento próprio
5008812,61,Ensino superior,Divorciado,1,Pensionista,Outro,0,283500.0,0,Casa/apartamento próprio
5008813,61,Ensino superior,Divorciado,1,Pensionista,Outro,0,283500.0,0,Casa/apartamento próprio
5008814,61,Ensino superior,Divorciado,1,Pensionista,Outro,0,283500.0,0,Casa/apartamento próprio
5008815,46,Ensino superior,Casado,2,Empregado,Contabilidade,2,270000.0,1,Casa/apartamento próprio
5112956,46,Ensino superior,Casado,2,Empregado,Contabilidade,2,270000.0,1,Casa/apartamento próprio
6153651,46,Ensino superior,Casado,2,Empregado,Contabilidade,2,270000.0,1,Casa/apartamento próprio
5008819,48,Ensino médio,Casado,2,Associado comercial,Construção Civil,3,135000.0,1,Casa/apartamento próprio
5008820,48,Ensino médio,Casado,2,Associado comercial,Construção Civil,3,135000.0,1,Casa/apartamento próprio
5008821,48,Ensino médio,Casado,2,Associado comercial,Construção Civil,3,135000.0,1,Casa/apartamento próprio
5008822,48,Ensino médio,Casado,2,Associado comercial,Construção Civil,3,135000.0,1,Casa/apartamento próprio
5008823,48,Ensino médio,Casado,2,Associado comercial,Construção Civil,3,135000.0,1,Casa/apartamento próprio
5008824,48,Ensino médio,Casado,2,Associado comercial,Construção Civil,3,135000.0,1,Casa/apartamento próprio
5008825,29,Ensino superior incompleto,Casado,2,Empregado,Contabilidade,3,130500.0,1,Casa/apartamento próprio
5008826,29,Ensino superior incompleto,Casado,2,Empregado,Contabilidade,3,130500.0,1,Casa/apartamento próprio
5008830,27,Ensino médio,Casado,2,Empregado,Construção Civil,4,157500.0,0,Casa/apartamento próprio
